MEpurple	MEroyalblue	MElightyellow	MEred	MEmagenta	MEyellow	MEblue	MEgrey60	MEblack	MEmidnightblue	MEbrown	MEgreen	MEsalmon	MEpink	MEtan	MEturquoise	MElightcyan	MEcyan	MEgreenyellow	MElightgreen	MEgrey
-0.178927631597348	-0.117017789760703	-0.135975436317472	-0.330705208420335	0.186293867755341	0.0918003879312433	0.112149030702239	0.147778985270751	-0.0157090317139998	0.164301028490355	0.335958411749417	0.177718447602612	-0.0441103358686375	0.0128944566137333	-0.109917262832787	-0.250241876707298	-0.000206560123977358	-0.0597722080370459	-0.123901851947938	0.0534435194905885	9.84900658636287e-05
-0.179966189672861	-0.141089451949281	-0.126268169952681	-0.330628800677152	0.184024024078427	0.087867970734893	0.111264637630961	0.154611180910353	-0.0212879830033816	0.156317880340188	0.33309108592078	0.172998510700007	-0.0463266891768663	0.0150167054855961	-0.113105016753297	-0.254177206425139	-0.00716701138481596	-0.069158544586549	-0.126871360865536	0.050161291414688	3.10697528750464e-05
-0.17375737439271	-0.120987911991214	-0.117473590288621	-0.335690587273938	0.187768267112819	0.0909964466068418	0.113264293388066	0.150771597410839	-0.0231967235847867	0.158786258522699	0.335489504402512	0.177661604945839	-0.0474661340131725	0.0171835730313415	-0.10639034459733	-0.245626550185893	-0.00179360578158351	-0.0668345694189331	-0.129249115690317	0.0532487389439786	-5.66839277001977e-05
-0.150427407525149	-0.196795647655963	-0.233203599510421	-0.358323383890225	0.0685972214204539	0.102485285139526	0.0809307393434493	0.225026996215626	0.00253924659363336	0.213385203023242	0.388400473780988	0.25558632125596	-0.0866526044623085	-0.0368262413739339	-0.0637017225454435	-0.22709457081312	-0.0427906475638849	-0.049638536456167	-0.103912045935518	0.0557573925079599	0.00046512823272731
-0.150737498489277	-0.197216600732894	-0.233517490877062	-0.360537995112936	0.0658153484226283	0.0987371592126361	0.080719132274146	0.224052973857494	0.00298695207153816	0.208698014519803	0.388433286984816	0.258743383332207	-0.0781979923561741	-0.0440097996146084	-0.0652364536010295	-0.22898759676426	-0.0406878707256866	-0.0435773008038633	-0.109792722982829	0.0656297448684291	0.000538422317397907
-0.147275854785816	-0.199058994872622	-0.237490857596131	-0.36527156841968	0.0709878876233734	0.0981639911777227	0.0806502482035731	0.219715059867082	0.00373082071761257	0.213574784567228	0.39022839456475	0.257203762168105	-0.0812765766654144	-0.0416101158871323	-0.0681552931482417	-0.228979086567177	-0.0382738668154013	-0.0468207642363768	-0.10698464482407	0.0583202861063308	0.000406802064580423
-0.0579160149219501	0.174554998698117	0.318290575934787	0.0442393308184933	0.32748886718575	0.179186802999328	0.203104487061082	-0.00843089041080534	0.0399725074247073	0.0262306408193407	0.00284388227282189	-0.209813987230903	0.022357097280663	-0.136451069823156	-0.202483494723425	-0.168242907620813	-0.189823623144728	-0.0527664050571996	-0.12618858880666	-0.00385204568411343	0.000223155657460505
-0.0525571631295474	0.176224399217123	0.330358843963296	0.0438774503900502	0.330120064618599	0.177240686911665	0.203310147939634	-0.00871081402119757	0.0492046541085584	0.0252928924230664	0.0022997328978668	-0.205474085815055	0.0182219895258853	-0.143018179742575	-0.208638668975996	-0.166718528322855	-0.199566750959393	-0.0565018981835988	-0.13291950093528	0.0109978365008899	0.000143790830215288
-0.0457655384331748	0.168686062679156	0.322967395616429	0.0488508043873733	0.331716613982789	0.179556686656049	0.202951299821789	-0.00542913506210666	0.0467247896879031	0.025078964799233	0.00228693081319376	-0.209716668459203	0.0245213972560377	-0.139764931373272	-0.211988243737961	-0.168150580796442	-0.188539304556565	-0.0564068653911854	-0.120466944719613	0.00224547039247352	0.000244506564419141
-0.0495580469972267	0.185225238459131	0.32734387031541	0.0488469262338654	0.335246821212463	0.178748158066224	0.204068673389168	-0.00182809767736187	0.0461213401551658	0.0242606286143311	0.00456242284056202	-0.202343880997616	0.0211819498094387	-0.142746320989268	-0.21816045329808	-0.167681483592601	-0.199211645656877	-0.0596982267461052	-0.122971618369217	0.00483253536140722	0.000210535068262201
